threshold,precision,recall,f1,fp,fn,total_cost
0.01,0.0017204452090867595,1.0,0.003434980722046968,56864,0,2843200
0.02,0.0017222895906926065,1.0,0.003438656818540676,56803,0,2840150
0.03,0.0018411016551128144,1.0,0.003675436458079397,53131,0,2656550
0.04,0.0021905063005284316,0.9897959183673469,0.004371338440739072,44185,1,2214250
0.05,0.0027374366067312124,0.9693877551020408,0.005459456353083156,34609,3,1745450
0.060000000000000005,0.0034869333733268345,0.9489795918367347,0.006948335761515186,26578,5,1353900
0.06999999999999999,0.004552797767660449,0.9489795918367347,0.009062119366626065,20334,5,1041700
0.08,0.0057930860777029155,0.9387755102040817,0.011515113586582389,15789,6,819450
0.09,0.0071616137502984005,0.9183673469387755,0.01421239636794315,12477,8,663850
0.09999999999999999,0.00872237089899891,0.8979591836734694,0.01727692156670266,10001,10,550050
0.11,0.0105832832230908,0.8979591836734694,0.020920004754546535,8227,10,461350
0.12,0.012530257724619109,0.8979591836734694,0.024715629827271452,6935,10,396750
0.13,0.014671557185728577,0.8979591836734694,0.028871391076115485,5910,10,345500
0.14,0.01686146771412148,0.8979591836734694,0.03310137295467369,5131,10,306550
0.15000000000000002,0.019319429198682767,0.8979591836734694,0.037825059101654845,4467,10,273350
0.16,0.02171231186775228,0.8979591836734694,0.04239942182606601,3965,10,248250
0.17,0.02414654454621149,0.8877551020408163,0.04701432045393137,3516,11,230800
0.18000000000000002,0.026901669758812616,0.8877551020408163,0.05222088835534214,3147,11,212350
0.19,0.029642248722316866,0.8877551020408163,0.057368941641938676,2848,11,197400
0.2,0.032474804031354984,0.8877551020408163,0.06265754411235146,2592,11,184600
0.21000000000000002,0.03478964401294499,0.8775510204081632,0.0669260700389105,2386,12,179300
0.22,0.03737505432420687,0.8775510204081632,0.0716965402250938,2215,12,170750
0.23,0.03975959315765141,0.8775510204081632,0.07607253427686864,2077,12,163850
0.24000000000000002,0.04246913580246914,0.8775510204081632,0.08101742816768724,1939,12,156950
0.25,0.04514435695538058,0.8775510204081632,0.08587119321018473,1819,12,150950
0.26,0.04823331463825014,0.8775510204081632,0.09144072301967039,1697,12,144850
0.27,0.05190102595051298,0.8775510204081632,0.098005698005698,1571,12,138550
0.28,0.0547422024188415,0.8775510204081632,0.1030557219892151,1485,12,134250
0.29000000000000004,0.05783456624075319,0.8775510204081632,0.1085173501577287,1401,12,130050
0.3,0.06094968107725018,0.8775510204081632,0.11398277004638833,1325,12,126250
0.31,0.06427503736920777,0.8775510204081632,0.11977715877437325,1252,12,122600
0.32,0.06703039750584568,0.8775510204081632,0.12454742939898625,1197,12,119850
0.33,0.07095709570957096,0.8775510204081632,0.13129770992366413,1126,12,116300
0.34,0.07445887445887446,0.8775510204081632,0.1372705506783719,1069,12,113450
0.35000000000000003,0.07768744354110207,0.8775510204081632,0.14273858921161825,1021,12,111050
0.36000000000000004,0.08221797323135756,0.8775510204081632,0.15034965034965034,960,12,108000
0.37,0.08574277168494517,0.8775510204081632,0.15622161671207993,917,12,105850
0.38,0.0893042575285566,0.8775510204081632,0.16211121583411875,877,12,103850
0.39,0.09337676438653637,0.8775510204081632,0.16879293424926398,835,12,101750
0.4,0.09806157354618016,0.8775510204081632,0.1764102564102564,791,12,99550
0.41000000000000003,0.10250297973778308,0.8775510204081632,0.18356456776947705,753,12,97650
0.42000000000000004,0.10763454317897372,0.8775510204081632,0.19175027870680045,713,12,95650
0.43,0.11183355006501951,0.8775510204081632,0.19838523644752018,683,12,94150
0.44,0.11653116531165311,0.8775510204081632,0.20574162679425836,652,12,92600
0.45,0.12573099415204678,0.8775510204081632,0.21994884910485935,598,12,89900
0.46,0.13169984686064318,0.8775510204081632,0.22902796271637815,567,12,88350
0.47000000000000003,0.1371610845295056,0.8775510204081632,0.23724137931034484,541,12,87050
0.48000000000000004,0.14333333333333334,0.8775510204081632,0.24641833810888253,514,12,85700
0.49,0.14853195164075994,0.8775510204081632,0.25406203840472674,493,12,84650
0.5,0.15384615384615385,0.8775510204081632,0.2617960426179604,473,12,83650
0.51,0.16044776119402984,0.8775510204081632,0.27129337539432175,450,12,82500
0.52,0.16538461538461538,0.8775510204081632,0.2783171521035599,434,12,81700
0.53,0.17303822937625754,0.8775510204081632,0.28907563025210087,411,12,80550
0.54,0.17954070981210857,0.8775510204081632,0.29809358752166376,393,12,79650
0.55,0.18695652173913044,0.8775510204081632,0.30824372759856633,374,12,78700
0.56,0.19101123595505617,0.8673469387755102,0.31307550644567217,360,13,83000
0.5700000000000001,0.19953051643192488,0.8673469387755102,0.3244274809160305,341,13,82050
0.5800000000000001,0.2038369304556355,0.8673469387755102,0.3300970873786408,332,13,81600
0.59,0.21628498727735368,0.8673469387755102,0.34623217922606925,308,13,80400
0.6,0.22606382978723405,0.8673469387755102,0.35864978902953587,291,13,79550
0.61,0.24079320113314448,0.8673469387755102,0.376940133037694,268,13,78400
0.62,0.25,0.8673469387755102,0.3881278538812785,255,13,77750
0.63,0.26153846153846155,0.8673469387755102,0.40189125295508277,240,13,77000
0.64,0.27070063694267515,0.8673469387755102,0.41262135922330095,229,13,76450
0.65,0.27960526315789475,0.8673469387755102,0.4228855721393035,219,13,75950
0.66,0.2920962199312715,0.8673469387755102,0.4370179948586118,206,13,75300
0.67,0.2982456140350877,0.8673469387755102,0.44386422976501305,200,13,75000
0.68,0.3,0.8571428571428571,0.4444444444444444,196,14,79800
0.6900000000000001,0.30996309963099633,0.8571428571428571,0.45528455284552843,187,14,79350
0.7000000000000001,0.3230769230769231,0.8571428571428571,0.4692737430167598,176,14,78800
0.7100000000000001,0.33201581027667987,0.8571428571428571,0.47863247863247865,169,14,78450
0.72,0.34285714285714286,0.8571428571428571,0.4897959183673469,161,14,78050
0.73,0.3574468085106383,0.8571428571428571,0.5045045045045045,151,14,77550
0.74,0.3700440528634361,0.8571428571428571,0.5169230769230769,143,14,77150
0.75,0.38009049773755654,0.8571428571428571,0.5266457680250783,137,14,76850
0.76,0.3981042654028436,0.8571428571428571,0.5436893203883495,127,14,76350
0.77,0.4019138755980861,0.8571428571428571,0.5472312703583062,125,14,76250
0.78,0.42346938775510207,0.8469387755102041,0.564625850340136,113,15,80650
0.79,0.4368421052631579,0.8469387755102041,0.5763888888888888,107,15,80350
0.8,0.45108695652173914,0.8469387755102041,0.5886524822695035,101,15,80050
0.81,0.4689265536723164,0.8469387755102041,0.6036363636363636,94,15,79700
0.8200000000000001,0.4797687861271676,0.8469387755102041,0.6125461254612546,90,15,79500
0.8300000000000001,0.49404761904761907,0.8469387755102041,0.6240601503759399,85,15,79250
0.8400000000000001,0.49700598802395207,0.8469387755102041,0.6264150943396226,84,15,79200
0.85,0.50920245398773,0.8469387755102041,0.6360153256704981,80,15,79000
0.86,0.51875,0.8469387755102041,0.6434108527131783,77,15,78850
