threshold,precision,recall,f1,tp,fp,tn,fn,cost
0.01,0.6796116504854369,0.8860759493670886,0.7692307692307693,70,33,45457,9,45050
0.02,0.7954545454545454,0.8860759493670886,0.8383233532934132,70,18,45472,9,45050
0.03,0.8333333333333334,0.8860759493670886,0.8588957055214723,70,14,45476,9,45050
0.04,0.8625,0.8734177215189873,0.8679245283018868,69,11,45479,10,50050
0.05,0.8734177215189873,0.8734177215189873,0.8734177215189873,69,10,45480,10,50050
0.060000000000000005,0.8734177215189873,0.8734177215189873,0.8734177215189873,69,10,45480,10,50050
0.06999999999999999,0.8734177215189873,0.8734177215189873,0.8734177215189873,69,10,45480,10,50050
0.08,0.8717948717948718,0.8607594936708861,0.8662420382165605,68,10,45480,11,55050
0.09,0.8701298701298701,0.8481012658227848,0.8589743589743589,67,10,45480,12,60050
0.09999999999999999,0.8701298701298701,0.8481012658227848,0.8589743589743589,67,10,45480,12,60050
0.11,0.881578947368421,0.8481012658227848,0.8645161290322582,67,9,45481,12,60050
0.12,0.8933333333333333,0.8481012658227848,0.8701298701298702,67,8,45482,12,60050
0.13,0.8933333333333333,0.8481012658227848,0.8701298701298702,67,8,45482,12,60050
0.14,0.8933333333333333,0.8481012658227848,0.8701298701298702,67,8,45482,12,60050
0.15000000000000002,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.16,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.17,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.18000000000000002,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.19,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.2,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.21000000000000002,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.22,0.9178082191780822,0.8481012658227848,0.881578947368421,67,6,45484,12,60050
0.23,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.24000000000000002,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.25,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.26,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.27,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.28,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.29000000000000004,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.3,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
